City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,newman,37.3138,-121.0208,18.97,30,30,0.89,US,1701122874
309,eten,-6.9081,-79.8642,23.14,68,0,10.29,PE,1701122874
310,leava,-14.3,-178.1667,28.85,79,54,6.77,WF,1701122874
311,ystad,55.4297,13.8204,-3.59,81,89,9.1,SE,1701122874
312,tamanrasset,22.785,5.5228,12.95,14,0,2.06,DZ,1701122875
313,caleta de carquin,-11.0925,-77.6267,21.35,77,35,4.96,PE,1701122875
314,elizabeth city,36.2946,-76.2511,13.01,61,0,3.6,US,1701122622
315,uyskoye,54.3775,60.0047,-5.54,97,40,2.16,RU,1701122875
316,malaybalay,8.15,125.0833,18.83,95,11,0.24,PH,1701122876
317,wuhai,39.6647,106.8122,-2.93,40,57,2.95,CN,1701122876
318,arno,60.1167,18.6333,-2.9,72,100,7.66,SE,1701122876
319,asmara,15.3333,38.9333,12.43,66,60,2.61,ER,1701122876
320,tabas,33.5959,56.9244,15.58,43,3,2.68,IR,1701122877
321,berryville,36.3648,-93.568,8.92,43,1,3.45,US,1701122877
322,novodvinsk,64.4165,40.8122,-10.68,82,100,6.35,RU,1701122877
323,sandnessjoen,66.0217,12.6316,-5.88,38,0,4.12,NO,1701122686
324,katsuura,35.1333,140.3,16.01,83,45,10.13,JP,1701122877
325,mossel bay,-34.1831,22.146,16.96,75,1,1.2,ZA,1701122878
326,lebu,-37.6167,-73.65,13.89,86,90,1.72,CL,1701122680
327,pisco,-13.7,-76.2167,22.03,73,0,10.8,PE,1701122878
328,acapulco de juarez,16.8634,-99.8901,29.9,70,75,5.66,MX,1701122744
329,midelt,32.6852,-4.7451,9.75,34,12,4.57,MA,1701122879
330,fale old settlement,-9.3852,-171.2468,29.28,75,99,6.46,TK,1701122879
331,port mathurin,-19.6833,63.4167,24.34,73,2,3.56,MU,1701122686
332,andirin,37.5776,36.3549,0.65,50,0,3.57,TR,1701122879
333,revda,56.801,59.9303,-1.79,93,94,4.3,RU,1701122880
334,new norfolk,-42.7826,147.0587,13.29,69,91,0.93,AU,1701122880
335,vanimo,-2.6741,141.3028,26.93,81,100,0.91,PG,1701122880
336,puntarenas,9.9763,-84.8384,29.18,73,51,1.85,CR,1701122880
337,oranjemund,-28.55,16.4333,17.09,95,53,5.53,NA,1701122880
338,fukuecho,32.6881,128.8419,15.49,52,85,9.76,JP,1701122881
339,popondetta,-8.7537,148.2534,28.52,70,94,0.09,PG,1701122881
340,fada,9.5667,8.3,22.75,65,35,0.68,NG,1701122723
341,catriel,-37.8791,-67.7956,24.47,56,37,8.4,AR,1701122881
342,coari,-4.085,-63.1414,27.8,72,84,0.74,BR,1701122882
343,afif,23.9065,42.9172,22.54,36,9,1.67,SA,1701122882
344,vidisha,23.5333,77.8167,16.65,77,17,1.45,IN,1701122883
345,shuangjiang,26.1547,109.7138,9.24,86,0,1.25,CN,1701122883
346,jayapura,-2.5333,140.7,25.66,82,100,1.49,ID,1701122884
347,kone,-21.0595,164.8658,27.02,58,92,1.53,NC,1701122884
348,hell-ville,-13.4,48.2667,25.71,82,99,1.61,MG,1701122884
349,filingue,14.3521,3.3168,29.79,31,90,1.5,NE,1701122885
350,jianguang,28.1938,115.7836,11.75,76,0,1.82,CN,1701122885
351,don luan,11.5333,106.9167,23.3,86,39,2.06,VN,1701122885
352,cherepovets,59.1333,37.9,-0.1,86,75,2.0,RU,1701122886
353,hotan,37.0997,79.9269,2.4,35,94,0.88,CN,1701122886
354,clinton,42.587,-82.9199,-1.51,72,100,8.23,US,1701122886
355,pangody,65.85,74.4859,-9.88,95,100,4.29,RU,1701122887
356,pemangkat,1.1667,108.9667,25.87,85,99,1.86,ID,1701122847
357,usogorsk,63.4106,48.6872,-5.53,92,100,5.16,RU,1701122887
358,prince rupert,54.3161,-130.3201,7.05,100,100,6.17,CA,1701122888
359,monte argentario,42.4345,11.1195,14.97,75,100,6.86,IT,1701122888
360,atafu village,-8.5421,-172.5159,28.88,76,100,3.76,TK,1701122670
361,oltinko'l,40.8011,72.1634,11.94,32,90,2.12,UZ,1701122889
